population	plantID	Inflo	infloID	Numfl	posicionestig	Longestigma	styleexertion	herkoAbsol	posicionestilo	herkoRela	longcor	anchcor	longP	anchP
B	B1	AM	B1AM		E	3.06	3.06	1.4	EE	1.4	10.44	1.38	3.82	2.45
B	B1	RJ	B1RJ	34	D	1.25	-1.25	5.17	DE	-5.17	18.98	1.6	4.73	4.75
B	B1	RJ	B1RJ		E	2.65	2.65	0	MA	0	15.87		5.57	4.64
B	B1	RJ	B1RJ		AP	0	0	3.26	DE	-3.26	18.16	1.05	3.79	4.21
B	B1	AZ	B1AZ	22	E	7.61	7.61	4.53	EE	4.53	12.79	1.72	6.12	3.83
B	B1	AZ	B1AZ		E	3.84	3.84	0	MA	0	18.53	1.28	6.21	2.04
B	B1	AZ	B1AZ		E	4.31	4.31	0	MA	0	19.19	1.17	4.42	6.48
B	B1	AZ	B1AZ		E	1.33	1.33	4.83	DE	-4.83	18.45	1.52	6.51	5.96
B	B1	RS	B1RS	27	D	10.18	-10.18	14.15	DE	-14.15	22.27	1.23	6.88	4.13
B	B1	RS	B1RS		D	3.37	-3.37	6.93	DE	-6.93	19.3	1.73	5.6	4.3
B	B1	RS	B1RS		D	7.04	-7.04	10.34	DE	-10.34	21.92	2.11	4.77	4.06
B	B1	RS	B1RS		D	4.26	-4.26	7.72	DE	-7.72	19.49	1.69	5.24	3.74
B	B4	AM	B4AM	17	AP	0	0	3.6	DE	-3.6	18.7	1.85	6.46	4.91
B	B4	AM	B4AM		E	0.95	0.95	3.1	DE	-3.1	19.64	1.5	6.37	5.29
B	B4	BL	B4BL	18	D	10.01	-10.01	12.25	DE	-12.25	21.15	1.98	5.1	5.74
B	B4	BL	B4BL		D	3.05	-3.05	6.1	DE	-6.1	16.42	1.86	4.85	5.32
B	B4	BL	B4BL		D	1.7	-1.7	4.71	DE	-4.71	19.8	1.49	4.11	4.57
B	B4	AZ	B4AZ	6	E	2.13	2.13	1.6	DE	-1.6	21.91	2.04	5.48	5.24
B	B4	AZ	B4AZ		D	1.4	-1.4	5.43	DE	-5.43	20.3	1.31	6.05	3.75
B	B5	AM	B5AM	6	E	1.37	1.37	2.85	DE	-2.85	23.39	1.62	5.96	5.46
B	B5	AM	B5AM		D	1.91	-1.91	2.21	DE	-2.21	21.15	1.68	5.16	5.43
B	B5	AM	B5AM		D	3.94	-3.94	7.67	DE	-7.67	30.15	1.62	9.72	6.69
B	B5	AZ	B5AZ	12	D	1.66	-1.66	8.47			29.698	1.42	9.24	7.11
B	B5	AZ	B5AZ		AP	0	0	4.41	DE	-4.41	24.5	1.27	6.72	6.56
B	B5	RJ	B5RJ		D	5.64	-5.64	11.05	DE	-11.05	30.1	1.63	9.64	7.83
B	B5	RJ	B5RJ		D	7.05	-7.05	13.34	DE	-13.34	28.75	1.86	9.71	7.76
B	B5	BL	B5BL	10	E	0.99	0.99	3.12	DE	-3.12	22.72	1.73	9.48	7.06
B	B5	BL	B5BL		D	3.41	-3.41	8.91	DE	-8.91	25.2	1.98	9.21	6.44
B	B5	BL	B5BL		D	3.26	-3.26	10.5	DE	-10.5	24.27	1.69	8.12	6.37
B	B5	BL	B5BL		E	3.45	3.45	1.85	DE	-1.85	19.18	1.7	8.23	5.41
B	B5	RS	B5RS	6	D	16.26	-16.26	2.57	DE	-2.57	21.32	1.68	8.34	4.46
B	B5	RS	B5RS		AP	0	0	4.33	DE	-4.33	21.38	1.33	8.44	4.77
B	B5	RS	B5RS		AP	0	0	4.7	DE	-4.7	19.54	1.8	7.51	4.46
B	B5	RS	B5RS		D	12.37	-12.37	18.3	DE	-18.3	24.28	1.68	7.96	4.76
B	B6	RJ	B6RJ	12	E	7.23	7.23	2.4	EE	2.4	31.61	1.99	11.59	10.38
B	B6	RJ	B6RJ		D	1.18	-1.18	5.56	DE	-5.56	31.6	2.52	10.46	8.03
B	B6	BL	B6BL	4	E	7.48	7.48	2.82	EE	2.82	31.37	2.13	11.7	10.91
B	B6	BL	B6BL		E	7.29	7.29	1.13	EE	1.13	32.67	1.86	10.51	9.66
B	B6	BL	B6BL		E	5.99	5.99	2.47	EE	2.47	28.85	1.63	9.82	7.56
B	B6	AM	B6AM	16	E	4.79	4.79	2.4	EE	2.4	26.26	1.94	7.47	6.68
B	B6	AM	B6AM		AP	0	0	2.37	DE	-2.37	29.5	1.23	5.79	5.11
B	B6	AM	B6AM		D	3.1	-3.1	7.33	DE	-7.33	27.95	1.81	7.84	4.2
B	B6	AZ	B6AZ	22	AP	0	0	4.26	DE	-4.26	26.87	1.41	7.94	5.68
B	B6	AZ	B6AZ		E	6.41	6.41	3.48	EE	3.48	24.9	1.55	6	6.69
B	B6	AZ	B6AZ		E	0.96	0.96	3.3	DE	-3.3	24.34	1.79	7.84	6.26
B	B7	RS	B7RS	18	E	2.97	2.97	0	MA	0	32.01	2.45	15.42	10.48
B	B7	RS	B7RS		E	3.78	3.78	1.36	EE	1.36	22.51	2.2	12.02	9.3
B	B7	RS	B7RS		E	1.82	1.82	1.17	DE	-1.17	24.26	1.95	12.32	8.92
B	B7	RS	B7RS		E	8.87	8.87	4.14	EE	4.14	20.11	2.28	10.51	9.01
B	B7	RJ	B7RJ	8	D	1.28	-1.28	5.23	DE	-5.23	31.97	2.68	16.33	15.14
B	B7	RJ	B7RJ		D	1.01	-1.01	4.39	DE	-4.39	33.3	2.44	15.68	11.2
B	B7	RJ	B7RJ		AP	0	0	5.08	DE	-5.08	31.72	2.43	15.72	11.58
B	B7	RJ	B7RJ		AP	0	0	5.02	DE	-5.02	31.93	2.6	16.45	10.91
B	B7	AZ	B7AZ	12	E	1.21	1.21	0	MA	0	28.53	2.29	13.21	8.47
B	B7	AZ	B7AZ		AP	0	0	0	MA	0	26.62	2.37	9.17	6.76
B	B7	AZ	B7AZ		D	1.1	-1.1	5.22	DE	-5.22	28.48	2.28	10.95	9.1
B	B7	AZ	B7AZ		AP	0	0	4.91	DE	-4.91	28.69	2.09	13.38	9.21
B	B7	AM	B7AM	12	E	2.82	2.82	0	MA	0	22.46	1.87	10.21	7.13
B	B7	AM	B7AM		E	1.44	1.44	2.68	DE	-2.68	23.79	2.07	12.77	10.11
B	B7	AM	B7AM		E	3.63	3.63	0	MA	0	21.25	1.24	8.68	5.8
B	B7	AM	B7AM		E	4.15	4.15	0	MA	0	20.69	1.91	12.75	9.41
B	B7	BL	B7BL	12	AP	0	0	4.95	DE	-4.95	28.82	2.07	13.74	7.04
B	B7	BL	B7BL		D	2.72	-2.72	7.53	DE	-7.53	34.07	1.77	13.55	9.12
B	B7	BL	B7BL		AP	0	0	4.38	DE	-4.38	28.21	2.11	13.85	8.68
B	B7	BL	B7BL		D	2.66	-2.66	8.98	DE	-8.98	34.05	2.3	14.45	8.73
B	B8	RJ	B8RJ	9	E	9.08	9.08	5.12	EE	5.12	15.92	1.74	5.92	4.82
B	B8	RJ	B8RJ		E	4.67	4.67	0	MA	0	23.72	2.2	5.18	4.78
B	B8	RJ	B8RJ		AP	0	0	4.25	DE	-4.25	29.85	1.94	8.8	7.19
B	B8	RJ	B8RJ		E	5.25	5.25	1.68	EE	1.68	24.08	1.77	7.69	8.45
