population;indiID;IndiID;IndiID;totflowers;INTcor;Ieffic;Iattrac;IattracCorr;Iacces;IaccesCorr;longcor;longpet;anchopet;stylelength;antherslength;tubewidth;Nflores;Nfrutosiniciados;Nfrutosfinales;semillasporfruto;fruitset;seedsflo;styleexertion;herkoRela
E;E47bis;E47bis;E47bis;126;0.855339425;-0.13080335;0.350872015;-0.350872015;0.148344305;-0.148344305;29.2535;11.7755;9.1745;32.3535;31.1455;2.2035;66;30;11;1.333333333;0.166666667;0.222222222;3.1;-1.208
E;E48;E48;E48;113.3333333;2.263544034;3.243293316;0.700434054;-0.700434054;-0.555437851;0.555437851;20.5205;9.2785;7.933;25.905;26.9815;1.9285;46;41;6;1.428571429;0.130434783;0.186335404;5.3845;1.0765
E;E49;E49;E49;74.25;3.49578062;0.519598846;-0.840012162;0.840012162;-1.388070229;1.388070229;24.1125;8.793;9.0845;32.41828947;36.30828947;2.2895;56;54;1;1.538461538;0.017857143;0.027472527;8.305789474;5.21
E;E51;E51;E51;82.66666667;1.679387728;4.015816436;0.506680161;-0.506680161;0.064401213;-0.064401213;21.9325;8.0005;7.3735;25.5995;24.964;1.852;48;21;14;1.590909091;0.291666667;0.464015152;3.667;-0.6355
E;E52;E52;E52;239.75;2.247006851;-1.050481777;0.469286429;-0.469286429;-2.038530765;2.038530765;21.1095;13.227;9.507;31.5945;36.733;2.5765;103;47;11;2;0.106796117;0.213592233;10.485;5.1385
E;E53;E53;E53;76.33333333;0.931998457;-0.011739498;-0.214860702;0.214860702;0.70485213;-0.70485213;31.2005;11.1965;8.543;33.51;31.274;2.1865;83;39;8;1.5;0.096385542;0.144578313;2.3095;-2.236
E;E54;E54;E54;60;0.520771934;-0.292738324;1.113997715;-1.113997715;1.863751402;-1.863751402;33.1625;11.2625;9.0895;35.984;23.414;2.2885;66;44;0;NA;0;0;2.8215;-1.9275
E;E55;E55;E55;128;2.836137502;-1.300093148;-1.861440762;1.861440762;-0.530497655;0.530497655;28.8455;12.1055;8.4845;36.8725;40.5715;2.248;73;43;16;2.071428571;0.219178082;0.454011742;8.027;3.699
E;E56;E56;E56;52;1.980781363;0.831937404;-0.538185111;0.538185111;0.105104202;-0.105104202;28.4855;10.16;8.74;32.446;32.352;1.9705;73;18;0;NA;0;0;3.9605;-0.094
E;E6;E6;E6;16;1.09046448;-0.702969301;0.172955189;-0.172955189;1.474618654;-1.474618654;33.766;13.3335;8.202;34.0165;29.91316667;2.2405;49;31;6;0.25;0.12244898;0.030612245;0.2505;-4.103333333
E;E7;E7;E7;44;1.089074085;-0.716073901;-1.563218811;1.563218811;2.432618364;-2.432618364;38.172;11.925;7.568;38.5575;32.252;1.9895;42;33;3;NA;0.071428571;0.097857143;0.3855;-6.3055
